Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
213, 2.73, 6.91695, 7.206, -3.44276, 6.97218, -3.74213
214, 1.19505, 7.197, 6.861, -6.52312, -10.45433, -10.87975
215, 0.369, 7.27995, 6.90195, -5.33352, 0.81145, -9.2017
216, 0.58395, 6.84705, 6.078, -5.33352, 17.47378, 15.51212
217, 2.08605, 7.113, 5.559, -3.86818, 2.91492, 35.0421
218, 3.51, 6.969, 6.23895, -7.99634, -13.46379, 36.64925
219, 3.51, 6.969, 6.23895, -10.51736, -21.23955, 28.03841
220, 3.984, 6.378, 7.16505, -4.56934, -20.74322, 15.78785
221, 4.26, 6.684, 7.03095, -2.11923, -22.00373, 6.47586
222, 3.558, 6.996, 6.07395, -7.01945, -34.46699, -0.87448
223, 1.93695, 6.66, 6.852, -12.19541, -36.35775, -0.73267
224, 1.65495, 6.39495, 6.65295, -19.1991, -34.81363, 4.30936
225, 1.01295, 5.87295, 8.145, -35.3651, 4.24633, 3.95484
226, 0.95595, 6.02595, 7.812, -51.11356, 49.74276, 1.3708
227, 0.95595, 6.02595, 7.812, -67.9886, 68.50069, -1.00841
228, 2.15295, 5.109, 7.467, -90.73288, 89.00756, -1.50473
229, 0.71895, 3.414, 7.74495, -123.77393, 119.95301, 12.21904
230, -1.72695, 2.92995, 6.83505, -143.58751, 110.01077, 36.0899
231, -1.82595, 3.79905, 5.544, -166.96205, 48.13562, 67.24018
232, -1.416, 2.988, 5.07, -195.87494, -9.96588, 87.67615
233, -0.32895, 2.652, 6.105, -246.97273, -41.04527, 92.30064
234, 2.22195, -0.39, 7.13895, -289.60153, -115.31277, 52.39771
235, 4.197, -0.411, 8.46495, -302.82895, -151.43417, 43.85777
236, 2.28705, -0.177, 15.07395, -264.68286, -39.22541, 66.05058
237, 0.537, -4.25205, 14.29995, -194.33081, 2.14286, 122.74976
238, -0.46605, -4.42695, 17.31195, -123.00186, -30.89818, 178.18845
239, -0.46605, -4.42695, 17.31195, -26.47853, -55.74593, 208.07822
240, 4.57605, -2.181, 21.24105, 99.38311, -12.62871, 196.1743
241, 6.855, 0.07605, 16.34295, 147.74719, 28.46383, 161.45522
242, 6.50595, 0.23595, 10.359, 149.85066, 43.23539, 113.57957
243, 4.236, 0.957, 6.684, 114.71403, 54.9266, 75.4256
244, 1.31505, 0.90705, 6.39705, 35.04998, 39.10723, 26.36036
245, -0.46305, -1.173, 11.961, -11.0058, 21.39711, 14.74006
246, -0.88905, -2.34105, 15.873, -2.53677, 69.9739, 43.22752
247, -0.88905, -2.34105, 15.873, 31.20543, 84.04432, 73.18819
248, -1.41405, -2.23095, 15.459, 61.09521, 75.01593, 99.22555
249, -0.693, -2.21895, 15.13095, 65.08156, 91.67038, 105.24447
250, -2.472, -2.961, 15.732, 85.94296, 77.67088, 123.79756
251, -1.69395, -2.63595, 16.719, 128.42992, 54.9266, 144.37534
252, -0.19305, -2.61195, 16.22505, 155.0345, 55.41505, 146.54971
253, -0.19695, -2.83395, 14.02305, 163.85017, 81.31059, 153.61644
254, -0.19695, -2.83395, 14.02305, 152.64742, 103.14887, 158.9342
255, -0.19305, -3.27, 14.11605, 134.80336, 144.52502, 170.97992
256, -1.20495, -3.38295, 13.96305, 136.82805, 147.95203, 182.73415
257, -1.383, -3.258, 13.55295, 151.88322, 116.80174, 194.70897
258, -0.50595, -3.00405, 13.254, 168.67949, 105.59898, 202.61864
259, 0.61095, -2.085, 11.41305, 178.69264, 96.43668, 198.20688
260, 0.252, -2.37, 10.29495, 170.71205, 91.59947, 187.77617
261, -1.512, -3.19395, 9.96, 152.93103, 102.24288, 192.25885
262, -1.14105, -3.378, 9.9, 132.84171, 85.65146, 220.6754
263, 0.54105, -2.91105, 10.29705, 138.15945, 65.97967, 223.82668
264, 2.42295, -1.93395, 10.125, 146.77029, 52.68132, 216.75208
265, 4.78605, -0.85905, 8.56095, 137.38739, 71.93557, 203.45372
266, 5.826, -0.15495, 7.87905, 120.30753, 99.50916, 187.07501
267, 6.74295, 0.93105, 7.26405, 101.97502, 108.82116, 155.92473
268, 6.85995, 1.61295, 6.30105, 93.71083, 102.24288, 140.73563
269, 7.04895, 2.50395, 5.61105, 79.36468, 96.85422, 120.15785
270, 7.803, 3.426, 5.76705, 68.72128, 104.27545, 100.21031
271, 7.578, 3.897, 5.19195, 53.60307, 110.01077, 73.81845
272, 6.57, 3.864, 4.797, 41.84096, 108.67934, 58.97598
273, 5.94795, 4.10295, 4.89795, 27.56572, 100.91148, 51.0663
274, 5.94795, 4.10295, 4.89795, 17.9701, 95.73552, 43.22752
275, 5.63595, 4.46205, 5.073, 8.59508, 90.55168, 37.13769
276, 5.63595, 4.869, 5.21595, -0.29937, 80.96395, 25.87191
277, 5.26005, 5.17605, 5.21205, -6.17649, 69.27275, 18.72641
278, 4.64805, 5.061, 5.56395, -9.18595, 50.51482, 11.44698
279, 4.035, 5.217, 5.32905, -9.53259, 29.65343, 11.10034
280, 4.33605, 5.79105, 4.63695, -11.9827, -5.27837, 6.05831
281, 4.33605, 5.79105, 4.63695, -19.33303, -34.5379, -1.15021
282, 4.37505, 6.114, 3.81795, -33.61615, -76.111, -9.76105
283, 3.81195, 5.47005, 3.85905, -43.41659, -117.13262, -12.06936
284, 3.30195, 5.47995, 5.65005, -46.9145, -147.0224, -15.00791
285, 2.14095, 4.66605, 6.77505, -48.31681, -142.53972, 3.5373
286, 3.08895, 4.78095, 6.84705, -53.63458, -103.48764, 23.55573
287, 4.24995, 5.02695, 7.02195, -59.23596, -71.35258, 29.1571
288, 4.803, 5.60895, 7.81395, -62.45813, -42.44758, 20.05782
289, 4.08, 5.64495, 8.77695, -35.57781, -27.88872, 2.70221
290, 3.09405, 5.106, 8.10405, -13.03837, -15.56726, -1.36292
291, 2.50005, 5.23605, 7.548, -15.76422, -6.74371, 6.83037
292, 2.89305, 5.65005, 7.96695, -17.93859, 3.68698, 11.8724
293, 3.285, 5.75805, 8.29305, -13.66862, 10.19435, 10.81673
294, 3.285, 5.75805, 8.29305, -6.31829, 9.42229, 9.20958
295, 2.95995, 5.83005, 7.80705, -2.82038, 4.94749, 8.36662
296, 2.95005, 5.71695, 7.45305, -3.09612, 4.59297, 8.36662
297, 2.58405, 5.40795, 7.76595, -2.39496, 7.3267, 11.65969
298, 2.904, 5.31, 8.49405, 3.62396, 14.1098, 12.50266
299, 2.44995, 5.21895, 8.19495, 11.25003, 18.66338, 14.45644
300, 2.74905, 5.55405, 7.467, 18.39553, 10.89551, 15.2285
301, 2.74905, 5.55405, 7.467, 23.08304, -0.23635, 13.40864
302, 2.05905, 5.43405, 6.624, 21.05047, -15.00791, 17.04836
303, 2.715, 5.664, 6.17205, 16.7096, -26.69912, 14.74006
304, 3.69495, 6.04305, 6.68895, 14.96064, -26.3446, 7.24792
305, 3.48195, 6.34005, 6.258, 10.13133, -21.86192, 1.2999
