SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
145, 1737995753522, 1.296, 0.90705, 11.52705, -8.7684, -60.78796, -115.6988
146, 1737995753540, 0.72105, 0.58395, 11.451, 0.46481, -52.03531, -116.05331
147, 1737995753556, 0.72105, 0.58395, 11.451, 4.38814, -47.2769, -114.65101
148, 1737995753574, 0.37905, 0.624, 10.87605, 4.87659, -45.38614, -112.54753
149, 1737995753590, 0.67605, 0.69405, 10.81095, 3.75789, -42.16396, -113.3196
150, 1737995753605, 1.70595, 0.888, 10.88805, 7.68122, -37.12981, -119.96877
151, 1737995753623, 0.07695, 0.351, 11.58, 14.67703, -37.61826, -122.48978
152, 1737995753641, -0.87, 0.02805, 10.90005, 22.02736, -40.97436, -114.29649
153, 1737995753656, -1.39395, 0.189, 10.55805, 25.73798, -48.3956, -102.74709
154, 1737995753672, -0.606, 0.696, 10.62705, 32.04052, -60.0868, -92.81271
155, 1737995753690, -0.606, 0.696, 10.62705, 36.38139, -65.61727, -90.85105
156, 1737995753706, 0.05295, 1.077, 10.12395, 37.64189, -68.48492, -91.96976
157, 1737995753721, 0.21405, 1.52505, 9.882, 35.25481, -68.62673, -94.77438
158, 1737995753740, -0.16095, 1.548, 9.66495, 30.35459, -65.27063, -94.83741
159, 1737995753754, -0.618, 1.56795, 9.54, 24.26476, -61.06369, -92.3873
160, 1737995753772, -0.11595, 1.611, 9.85605, 19.71906, -63.23806, -92.3873
161, 1737995753790, -1.23105, 1.33305, 9.411, 19.86086, -68.20919, -82.24021
162, 1737995753806, -1.23105, 1.33305, 9.411, 22.51581, -77.93874, -75.03169
163, 1737995753822, -0.80295, 1.81905, 10.323, 33.30103, -89.97658, -71.46288
164, 1737995753840, -0.132, 2.343, 10.47405, 38.33517, -92.14307, -72.16404
165, 1737995753854, -0.23295, 2.58495, 9.696, 32.11142, -83.3274, -70.76173
166, 1737995753873, -0.79095, 2.60205, 9.495, 23.01213, -71.07685, -65.64879
167, 1737995753888, -1.071, 2.58, 9.744, 15.5909, -54.83994, -55.08416
168, 1737995753905, -0.45795, 3.02805, 9.87795, 15.03155, -50.7748, -48.22227
169, 1737995753921, -0.45795, 3.02805, 9.87795, 19.71906, -57.56578, -47.37931
170, 1737995753939, 0.10395, 3.51705, 10.48605, 28.11719, -66.03481, -47.80473
171, 1737995753955, -0.25905, 3.495, 10.33305, 30.5673, -68.83945, -41.91974
172, 1737995753971, -0.49905, 3.59595, 9.90195, 29.23589, -69.18609, -34.56941
173, 1737995753989, -0.30195, 3.65805, 10.11495, 29.16498, -75.83527, -27.08515
174, 1737995754003, 0.60405, 3.801, 11.36205, 40.22593, -90.04748, -20.36507
175, 1737995754022, 1.887, 4.41405, 11.14395, 49.60884, -92.28488, -22.11402
176, 1737995754037, 1.926, 4.53705, 10.107, 47.50536, -85.7066, -27.08515
177, 1737995754059, 1.926, 4.53705, 10.107, 36.23958, -71.43136, -27.84933
178, 1737995754069, 1.63605, 4.30395, 9.729, 23.57148, -52.17712, -24.63504
179, 1737995754086, 1.44195, 3.99795, 10.29705, 16.85141, -30.26793, -18.3325
180, 1737995754103, 1.31805, 3.672, 10.66305, 20.62505, -18.50582, -12.94383
181, 1737995754121, 1.51605, 3.612, 10.42095, 31.686, -16.61506, -8.74477
182, 1737995754138, 1.437, 3.52605, 10.311, 44.00745, -22.70488, -6.6413
183, 1737995754153, 1.227, 3.24405, 9.91095, 62.76537, -36.08202, -0.48057
184, 1737995754170, 1.227, 3.24405, 9.91095, 76.13463, -45.45704, 6.65705
185, 1737995754188, 1.488, 3.25995, 9.348, 90.00021, -54.69813, 15.89815
186, 1737995754203, 2.172, 3.339, 8.64, 97.20873, -67.57893, 21.63346
187, 1737995754219, 2.85705, 3.84, 8.39595, 107.71033, -97.46871, 25.34407
188, 1737995754237, 4.05, 4.25895, 8.24205, 116.88052, -125.74347, 21.77526
189, 1737995754253, 4.413, 4.125, 7.62495, 124.6484, -159.41476, 13.03049
190, 1737995754269, 4.70295, 4.26105, 7.08795, 127.51605, -177.89694, 8.82355
191, 1737995754289, 4.392, 4.362, 6.456, 124.08904, -211.77307, 0.14969
192, 1737995754304, 4.392, 4.362, 6.456, 123.24609, -232.56357, 0.00788
193, 1737995754318, 4.58295, 4.01895, 5.97705, 119.18882, -236.48689, 6.0268
194, 1737995754335, 5.10795, 4.8, 4.50195, 105.32325, -236.69174, 14.56674
195, 1737995754352, 5.73705, 5.23605, 3.77895, 97.20873, -240.12662, 14.00739
196, 1737995754369, 5.78505, 4.848, 3.705, 90.9771, -240.82777, 18.13555
197, 1737995754385, 6.654, 4.881, 3.56595, 84.11521, -227.73424, 20.86927
198, 1737995754404, 7.536, 5.32395, 3.79905, 93.2145, -218.91858, 11.06883
199, 1737995754421, 7.536, 5.32395, 3.79905, 108.40361, -214.71951, -0.90599
200, 1737995754436, 7.11405, 5.51805, 2.91, 118.70039, -218.14651, -13.57409
