SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
123, 1737991136222, -1.14495, 2.83695, 9.33405, 2.56828, -2.02469, -3.9706
124, 1737991136233, -1.14495, 2.83695, 9.33405, 2.50526, -1.1187, -3.61608
125, 1737991136244, -0.97305, 2.829, 9.16905, 0.74843, 0, -4.24633
126, 1737991136255, -0.97305, 2.829, 9.16905, -0.08666, 0, -4.52995
127, 1737991136266, -1.06395, 2.87205, 9.50895, 0.18908, 1.74895, -4.60085
128, 1737991136277, -1.023, 2.80095, 9.40395, 1.52049, 4.75841, -5.2311
129, 1737991136288, -1.023, 2.80095, 9.40395, 2.43435, 5.25474, -5.93226
130, 1737991136299, -1.17405, 2.80305, 9.38895, 3.26944, 4.97113, -5.86136
131, 1737991136309, -1.17405, 2.80305, 9.38895, 3.34034, 3.15127, -4.81356
132, 1737991136320, -1.18095, 2.82705, 9.08295, 2.00893, 1.54412, -4.24633
133, 1737991136331, -1.18095, 2.82705, 9.08295, 0.54359, 0, -3.9706
134, 1737991136342, -1.12395, 2.86305, 9.27705, -0.71691, 1.05567, -3.48215
135, 1737991136353, -1.04205, 2.88195, 9.26505, -0.85872, 2.66282, -4.1124
136, 1737991136366, -1.04205, 2.88195, 9.26505, -1.20536, 4.06514, -4.67175
137, 1737991136376, -1.215, 2.73405, 9.135, -1.70168, 4.69539, -4.74266
138, 1737991136388, -1.215, 2.73405, 9.135, -2.11923, 4.90022, -4.31724
139, 1737991136400, -1.27905, 2.59995, 9.06795, -3.37973, 4.48268, -3.55305
140, 1737991136409, -1.27905, 2.59995, 9.06795, -4.77417, 2.80463, -2.9937
141, 1737991136420, -1.203, 2.77905, 9.29295, -5.75894, 1.1896, -2.9228
142, 1737991136431, -1.08, 2.712, 9.51795, -5.40442, 1.89076, -3.12763
143, 1737991136442, -1.08, 2.712, 9.51795, -4.42753, 2.24528, -3.61608
144, 1737991136453, -1.071, 2.76495, 9.51405, -2.89129, 3.29307, -4.1124
145, 1737991136463, -1.071, 2.76495, 9.51405, -1.97742, 3.43488, -4.18331
146, 1737991136482, -1.116, 2.736, 9.34395, -1.48897, 3.00946, -3.9706
147, 1737991136496, -1.16205, 2.772, 9.387, -1.83561, 3.15127, -3.34034
148, 1737991136509, -1.24605, 2.7, 9.35595, -2.39496, 2.59192, -2.49738
149, 1737991136528, -1.23405, 2.70495, 9.447, -3.45064, 1.67805, -1.59139
150, 1737991136542, -1.23405, 2.70495, 9.447, -3.52154, 2.45011, -1.37868
151, 1737991136559, -1.191, 2.67405, 9.633, -1.63078, 4.06514, -1.79622
152, 1737991136575, -1.22205, 2.67405, 9.54705, -0.85872, 4.26997, -1.7332
153, 1737991136591, -1.29105, 2.652, 9.31995, -1.63078, 5.60138, -0.96114
154, 1737991136610, -1.35105, 2.68305, 9.099, -3.37973, 3.78152, -0.25998
155, 1737991136624, -1.32705, 2.70705, 9.47805, -4.08089, 1.33141, 0.37027
156, 1737991136643, -1.24305, 2.607, 9.588, -0.71691, 0.91387, 0.22847
157, 1737991136657, -1.24305, 2.607, 9.588, 0.81933, 0.21271, -0.33088
158, 1737991136674, -1.30305, 2.70495, 9.07605, -1.27626, -1.26051, 0.08666
159, 1737991136690, -1.21005, 2.70705, 9.21195, -3.52154, 0.55935, 0.37027
160, 1737991136707, -1.23405, 2.65905, 9.459, -3.93909, 2.3083, 0.29937
161, 1737991136724, -1.29795, 2.592, 9.396, -3.37973, 1.61502, 0.22847
162, 1737991136740, -1.31295, 2.595, 9.315, -3.45064, 1.1187, 0.51208
163, 1737991136759, -1.34895, 2.595, 9.28605, -4.21482, 1.54412, 0.58298
164, 1737991136774, -1.30095, 2.595, 9.27195, -5.75894, 1.96166, 1.07143
165, 1737991136792, -1.30095, 2.595, 9.27195, -5.97165, 1.33141, 1.00053
166, 1737991136807, -1.24995, 2.57295, 9.423, -4.84507, 0.48845, 0.65389
167, 1737991136825, -1.296, 2.571, 9.384, -4.49843, 1.05567, 0.78782
168, 1737991136840, -1.296, 2.535, 9.43905, -4.56934, 1.61502, 0.85872
169, 1737991136858, -1.33905, 2.55195, 9.48, -3.79728, 1.54412, 0.78782
170, 1737991136875, -1.368, 2.52495, 9.50205, -2.46587, 1.40231, 0.65389
171, 1737991136891, -1.33695, 2.55405, 9.40605, -1.83561, 0.70116, 1.14233
172, 1737991136906, -1.33695, 2.55405, 9.40605, -2.04832, 0.48845, 1.00053
